"Sample_ID"	"sampling_id"	"capture_method"	"capture_depth"	"capture_time"	"death_time"	"death_method"	"body_storage"	"picture_identification"	"taxonomy"	"body_quality"	"body_mass"	"standard_length"	"body_width"	"mouth_depth"	"mouth_width"	"picture_morphometrics"	"picture_gut"	"gut_state"	"gut_fullness"	"barcoding_time"	"barcoding_id"	"barcoding_field_storage"	"skin_id"	"transcripto_id"	"bt_freezer_temp"	"bt_freezer_time"	"abundance_id"	"abundance_volume"	"abundance_formol"	"stomach_barcoding_id"	"stomach_nut_id"	"feces_nut_id"	"genetic_id"	"otolith_id"	"sex_state"	"gonads_nut_id"	"body_nut_id"	"muscle_isotope_id"	"liver_isotope_id"	"stomach_isotope_id"	"nicx_field_storage"	"nicx_freezer_time"	"comments"	"country"	"country_Season"	"X"	"date"	"region"	"site"	"type"	"subtype"	"Capture_method"	"Capture_depth"	"Capture_time"	"Death_time"	"Death_method"	"Body_storage"	"Taxonomy"	"Ouverture.opercule"	"gut_metabarcod_time"	"sequencing"	"gut_metabarcod_fieldStorage"	"gut_metabarcod_labTemp"	"gut_metabarcod_labTime"	"fish_genetic"	"genetic_sent"	"otolith"	"reproduction"	"isotope_liver"	"Blood"	"Scale"	"Brain"	"Hypothalamus"	"Hypophyse"	"Notes"	"sampling_time"	"sampling_depth"	"sample_type"	"sample_taxonomy"	"sample_pic_uw"	"sample_storage"	"sample_pic_lab"	"swab_area"	"swab_time"	"nutrient_id"	"isotope_id"	"bni_storage"	"bni_freezer"	"notes.x"	"water_time"	"water_depth"	"water_volume"	"water_storage"	"filtering_time"	"filtering_volume"	"filter_type"	"chlorophyll_id"	"isotop_id"	"snbc_storage"	"snbc_freezer"	"sampling_rank"	"spot_name"	"spot_longitude"	"spot_latitude"	"way_point"	"gps_device"	"gps_precision"	"sampling_date"	"sampling_start"	"sampling_method"	"weather"	"wind_speed"	"wave_height"	"water_temperature"	"visibility_horizontal"	"current_speed"	"depth_min"	"depth_max"	"habitat_type"	"pictures_habitat"	"videos_habitat"	"sampling_area"	"tasks_done"	"type_of_storage"	"sampling_end"	"notes.y"
"F_F104"	"F20_exo"	"gillnet"	NA	NA	NA	NA	"Ice"	"No"	"Sarpa_salpa"	"Intact"	"431"	"236"	"39.5"	"20.2"	"18.4"	1	1	"damaged"	"full"	"12:00"	"F_F104_B"	"cooler"	NA	NA	"-80"	"12:20"	"F_F104_C"	NA	NA	NA	"F_F104_NS"	NA	"F_F104_X"	"otolith_done_at_26-06-18
thaw_in_water_but_not_alone"	"picture"	"F_F104_NR"	"F_F104_NB"	"F_F104_IM"	"F_F104_IL"	"F_F104_IS"	"cooler_with_ice"	"12:20"	NA	"France"	"France_Summer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"F_F105"	"F20_exo"	"gillnet"	NA	NA	NA	NA	"Ice"	"No"	"Sarpa_salpa"	"Intact"	"482"	"262"	"39.2"	"21"	"18.5"	1	1	"picture"	"full_except_first_part_of_intestine"	"12:05"	"F_F105_B"	"cooler"	NA	NA	"-80"	"12:20"	"F_F105_C"	NA	NA	"F_F105_BS"	"F_F105_NS"	NA	"F_F105_X"	"otolith_done_at_26-06-18"	"picture"	"F_F105_NR"	"F_F105_NB"	"F_F105_IM"	"F_F105_IL"	"F_F105_IS"	"cooler_with_ice"	"12:20"	NA	"France"	"France_Summer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"F_F112"	"F24_exo"	"gillnet"	NA	NA	NA	NA	"Ice"	"No"	"Sarpa_salpa"	"Intact"	"351"	"240"	"34.8"	"19.2"	"17.5"	1	1	"slightly_damaged"	"half_full"	"10:35"	"F_F112_B"	"ice"	NA	NA	"-80"	"13:00"	"F_F112_C"	NA	NA	NA	NA	NA	"F_F112_X"	"otolith_done_at_27-06-18"	"picture"	NA	"F_F112_NB"	"F_F112_IM"	"F_F112_IL"	NA	"cooler_with_ice"	"13:00"	NA	"France"	"France_Summer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"F_F116"	"F24_exo"	"gillnet"	NA	NA	NA	NA	"Ice"	"No"	"Sarpa_salpa"	"Intact"	"203"	"203"	"29.6"	NA	NA	1	1	"Intact"	"almost_full"	"11:35"	"F_F116_B"	"ice"	NA	NA	"-80"	"13:00"	"F_F116_C"	NA	NA	NA	"F_F116_NS"	NA	"F_F116_X"	"otolith_done_at_27-06-18
one_of_them_was_broken"	"none"	NA	"F_F116_NB"	"F_F116_IM"	"F_F116_IL"	"F_F116_IS"	"cooler_with_ice"	"13:00"	"mouth_broken_during_handling"	"France"	"France_Summer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"F_F119"	"F26_exo"	"gillnet"	NA	NA	NA	NA	"Ice"	"No"	"Sarpa_salpa"	"Intact"	"425"	"249"	"35.7"	"20.3"	"18.5"	1	1	"Intact"	"half_empty"	"10:00"	"F_F119_B"	"ice"	NA	NA	"-80"	"12:30"	"F_F119_C"	"500"	100	NA	NA	"F_F119_NF"	"F_F119_X"	"otolith_done_at_26-06-18"	"picture"	"F_F119_NR"	"F_F119_NB"	"F_F119_IM"	"F_F119_IL"	NA	"cooler_with_ice"	"12:30"	"big_pieces_in_feces"	"France"	"France_Summer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"F_F120"	"F26_exo"	"gillnet"	NA	NA	NA	NA	"Ice"	"No"	"Sarpa_salpa"	"Intact"	"405"	"236"	"37.2"	"21"	"19.4"	1	1	"slightly_damaged"	"three_quarter_full"	"10:17"	"F_F120_B"	"ice"	NA	NA	"-80"	"12:30"	"F_F120_C"	"500"	100	NA	NA	"F_F120_NF"	"F_F120_X"	"otolith_done_at_26-06-18"	"picture"	"F_F120_NR"	"F_F120_NB"	"F_F120_IM"	"F_F120_IL"	NA	"cooler_with_ice"	"12:30"	NA	"France"	"France_Summer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"F_F121"	"F26_exo"	"gillnet"	NA	NA	NA	NA	"Ice"	"No"	"Sarpa_salpa"	"Intact"	"453"	"246"	"36.5"	"19.4"	"17.7"	1	1	"picture"	"three_quarter_full"	"10:30"	"F_F121_B"	"ice"	NA	NA	"-80"	"12:30"	"F_F121_C"	"500"	100	NA	NA	"F_F121_NF"	"F_F121_X"	"otolith_done_at_26-06-18
thaw_in_water_but_not_alone"	"immature"	"F_F121_NR"	"F_F121_NB"	"F_F121_IM"	"F_F121_IL"	NA	"cooler_with_ice"	"12:30"	NA	"France"	"France_Summer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"F_F122"	"F26_exo"	"gillnet"	NA	NA	NA	NA	"Ice"	"No"	"Sarpa_salpa"	"Intact"	"445"	"242"	"37.3"	"20.6"	"19.6"	1	1	"good"	"three_quarter_full"	"10:48"	"F_F122_B"	"ice"	NA	NA	"-80"	"12:30"	"F_F122_C"	"500"	100	NA	NA	"F_F122_NF"	"F_F122_X"	"otolith_done_at_26-06-18
thaw_in_water_but_not_alone"	"picture"	"F_F122_NR"	"F_F122_NB"	"F_F122_IM"	"F_F122_IL"	NA	"cooler_with_ice"	"12:30"	"big_pieces_of_leaves_see_picture"	"France"	"France_Summer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"F_F123"	"F26_exo"	"gillnet"	NA	NA	NA	NA	"Ice"	"No"	"Sarpa_salpa"	"Intact"	"440"	"253"	"38.7"	"21.6"	"19.2"	1	1	"good"	"three_quarter_full"	"11:06"	"F_F123_B"	"ice"	NA	NA	"-80"	"12:30"	"F_F123_C"	"500"	100	NA	NA	"F_F123_NF"	"F_F123_X"	"otolith_done_at_26-06-18
thaw_in_water_but_not_alone"	"picture"	"F_F123_NR"	"F_F123_NB"	"F_F123_IM"	"F_F123_IL"	NA	"cooler_with_ice"	"12:30"	NA	"France"	"France_Summer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"F_F124"	"F26_exo"	"gillnet"	NA	NA	NA	NA	"Ice"	"No"	"Sarpa_salpa"	"Intact"	"716"	"297"	"46.6"	"23.6"	"20"	1	1	"good"	"three_quarter_full"	"11:20"	"F_F124_B"	"ice"	NA	NA	"-80"	"12:30"	"F_F124_C"	"500"	100	NA	NA	"F_F124_NF"	"F_F124_X"	"otolith_done_at_26-06-18
thaw_in_water_but_not_alone"	"picture"	"F_F124_NR"	"F_F124_NB"	"F_F124_IM"	"F_F124_IL"	NA	"cooler_with_ice"	"12:30"	NA	"France"	"France_Summer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"F_F125"	"F26_exo"	"gillnet"	NA	NA	NA	NA	"Ice"	"No"	"Sarpa_salpa"	"Intact"	"674"	"288"	"44.8"	"26.9"	"24.7"	1	1	"good"	"almost_full"	"11:40"	"F_F125_B"	"ice"	NA	NA	"-80"	"12:30"	"F_F125_C"	"500"	100	NA	NA	NA	"F_F125_X"	"otolith_done_at_26-06-18
thaw_in_water_but_not_alone"	"picture"	"F_F125_NR"	"F_F125_NB"	"F_F125_IM"	"F_F125_IL"	NA	"cooler_with_ice"	"12:30"	NA	"France"	"France_Summer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
